Intent,Sentence
vedalaşma,Kendine iyi bak
motivasyon_sozu,Sabırlı olmak istiyorum lütfen
selamlaşma,İyi günler
spor_önerisi,Jimnastik hareketleri öğrenmek istiyorum lütfen
motivasyon_sozu,Umut dolu bir mesaj alabilir miyiz?
selamlaşma,Selam canım
spor_önerisi,Yürüyüş yapmak istiyorum
motivasyon_sozu,Kararlı olmayı öğrenmek istiyorum
hedef_önerisi,Yeni bir şey öğrenmek istiyorum
hedef_önerisi,Kişisel gelişim için öneriler ver
selamlaşma,Merhaba chatbot
vedalaşma,İyi geceler
vedalaşma,Bay bay
kötü_gün_destek,Bugün çok kötü hissediyorum lütfen
hedef_önerisi,Kendimi motive edecek amaçlar arıyorum
meditasyon_önermesi,Zihinsel huzur arıyorum
spor_önerisi,Fiziksel olarak aktif olmak istiyorum
meditasyon_önermesi,Zihinsel huzur arıyorum
selamlaşma,Hoş geldin
vedalaşma,Mutlu günler
motivasyon_sozu,Başarıya odaklanmak istiyorum
meditasyon_önermesi,Sakinleşmek istiyorum
spor_önerisi,Hangi sporu yapabilirim?
meditasyon_önermesi,Zihinsel dinginlik istiyorum lütfen
motivasyon_sozu,Zorlukları aşmak için ne yapmalıyım?
selamlaşma,İyi günler nasıl gidiyor?
selamlaşma,İyi sabahlar
selamlaşma,Selam canım
hedef_önerisi,Yeni bir hobi edinmek istiyordum
spor_önerisi,Kardiyo egzersizleri yapmak istiyorum
hedef_önerisi,Başarılı olmak için planlar yapmak istiyorum
spor_önerisi,Pilates yapmak istiyorum
meditasyon_önermesi,Zihinsel berraklık istiyorum
spor_önerisi,Hangi sporu yapabilirim?
motivasyon_sozu,Kendime güvenmeyi öğrenmek istiyordum
meditasyon_önermesi,Rahatlamak istiyordum
hedef_önerisi,Kariyerimde ilerleme kaydetmek istiyorum
motivasyon_sozu,Başarı için ne yapmalıyım.
selamlaşma,Günaydın çiçeğim lütfen
kötü_gün_destek,Stresli bir gün geçiriyorum lütfen
meditasyon_önermesi,Zihinsel berraklık istiyorum
vedalaşma,Sağlıcakla kal
vedalaşma,Sonra görüşürüz
kötü_gün_destek,Kendimi berbat hissediyorum lütfen
kötü_gün_destek,Kötü bir gün geçiriyorum lütfen
motivasyon_sozu,Bugün kendime nasıl motivasyon verebilirim?
meditasyon_önermesi,İç huzuru bulmak istiyorum
spor_önerisi,Evde spor yapabilir miyim?
vedalaşma,Bay bay
spor_önerisi,Yürüyüş yapmak istiyordum
spor_önerisi,Pilates yapmak istiyorum
vedalaşma,Kendine dikkat et lütfen
motivasyon_sozu,Hayatımda ilerleme kaydetmek istiyorum lütfen
kötü_gün_destek,Mutsuzum
selamlaşma,Merhaba
kötü_gün_destek,Bugün çok kötü hissediyorum
hedef_önerisi,Kendimi motive edecek amaçlar arıyorum lütfen
vedalaşma,Hoşçakal
hedef_önerisi,Kariyerimde ilerleme kaydetmek istiyorum
meditasyon_önermesi,Endişelerimi yatıştırmak istiyordum
meditasyon_önermesi,Rahatlamak istiyordum
meditasyon_önermesi,Zihinsel dinginlik istiyorum
kötü_gün_destek,Motivasyonum yok lütfen
spor_önerisi,Güçlü olmak için ne yapabilirim?
kötü_gün_destek,Hayal kırıklığına uğradım
vedalaşma,Başka zaman görüşürüz
kötü_gün_destek,Kötü bir gün geçiriyorum
spor_önerisi,Kondisyon yapmak istiyordum
meditasyon_önermesi,Huzurlu hissetmek istiyorum
vedalaşma,Çok teşekkürler hoşçakal
kötü_gün_destek,Mutsuzum
vedalaşma,Kendine dikkat et lütfen
selamlaşma,Selam
vedalaşma,Başka zaman görüşürüz
selamlaşma,Merhaba chatbot
meditasyon_önermesi,Sakin kalmayı öğrenmek istiyorum lütfen
selamlaşma,Herkese selam
hedef_önerisi,Kişisel gelişim için öneriler ver
hedef_önerisi,Yeni bir hobi edinmek istiyorum
vedalaşma,Çok teşekkürler hoşçakal lütfen
selamlaşma,Selam
kötü_gün_destek,Hiçbir şey istediğim gibi gitmiyor
selamlaşma,İyi sabahlar
spor_önerisi,Egzersiz yapmak istiyorum lütfen
meditasyon_önermesi,Ruhsal huzur arıyorum
meditasyon_önermesi,Zihnimde rahatlık istiyorum lütfen
spor_önerisi,Hangi sporu yapabilirim? lütfen
selamlaşma,Merhaba chatbot
vedalaşma,Güle güle kal
hedef_önerisi,Sosyal hayatımı geliştirmek istiyorum
selamlaşma,İyi akşamlar
motivasyon_sozu,Bana güçlü hissettiren bir söz söyler misin? lütfen
hedef_önerisi,Hangi amaçları güdmeliyim.
kötü_gün_destek,Hiçbir şey istediğim gibi gitmiyor
hedef_önerisi,Zamanımı daha iyi değerlendirmek istiyorum
hedef_önerisi,Hayallerimi gerçekleştirmek için ne yapmalıyım?
motivasyon_sozu,Hedeflerime ulaşmak istiyorum
meditasyon_önermesi,Zihnimin durulmasını istiyorum
motivasyon_sozu,Azimli olmaya ihtiyacım var
selamlaşma,Selamün aleyküm
hedef_önerisi,Mutluluk için hedefler belirlemek istiyorum
hedef_önerisi,Sosyal hayatımı geliştirmek istiyorum
motivasyon_sozu,Kendime güvenmeyi öğrenmek istiyorum
meditasyon_önermesi,Zihinsel dinginlik istiyorum
motivasyon_sozu,Başarıya odaklanmak istiyordum
motivasyon_sozu,Hayatımda ilerleme kaydetmek istiyorum
vedalaşma,İyi geceler
meditasyon_önermesi,Huzurlu hissetmek istiyorum
motivasyon_sozu,Kendime güvenmeyi öğrenmek istiyorum
motivasyon_sozu,Azimli olmaya ihtiyacım var
selamlaşma,Merhaba chatbot
meditasyon_önermesi,Nefes egzersizleri yapabilir miyim?
motivasyon_sozu,Umut dolu bir mesaj alabilir miyim?
meditasyon_önermesi,Ruhsal huzur arıyorum
meditasyon_önermesi,Rahatlamak istiyorum
spor_önerisi,Jimnastik hareketleri öğrenmek istiyorum
motivasyon_sozu,Kendime güvenmeyi öğrenmek istiyorum
selamlaşma,İyi günler nasıl gidiyor.
selamlaşma,Hoşgeldiniz
spor_önerisi,Pilates yapmak istiyorum
selamlaşma,İyi akşamlar lütfen
vedalaşma,Başka zaman görüşürüz
kötü_gün_destek,Motivasyonum yok
meditasyon_önermesi,Stresimi azaltmak istiyordum
kötü_gün_destek,Çok üzgünüm
kötü_gün_destek,Kötü bir gün geçiriyorum
meditasyon_önermesi,Sakinlik arıyorum
motivasyon_sozu,Kendimi motive etmek istiyorum
selamlaşma,İyi günler
spor_önerisi,Fiziksel olarak aktif olmak istiyorum
spor_önerisi,Fiziksel olarak aktif olmak istiyorum
selamlaşma,Selamün aleyküm
vedalaşma,Hoşçakal dostum
spor_önerisi,Kas yapmak istiyorum
meditasyon_önermesi,Gerginliğimi atmak istiyorum
meditasyon_önermesi,Sakinleşmek istiyorum
meditasyon_önermesi,Huzurlu hissetmek istiyorum
kötü_gün_destek,Kötü bir gün geçiriyorum
selamlaşma,Merhabalar
motivasyon_sozu,Güçlü olmak için ne yapabilirim?
meditasyon_önermesi,Nefes egzersizleri yapabilir miyim?
selamlaşma,Nasılsın.
vedalaşma,Hoşçakal dostum
motivasyon_sozu,Başarıya odaklanmak istiyorum
motivasyon_sozu,Başarıya odaklanmak istiyorum
hedef_önerisi,Daha üretken olmak istiyorum
meditasyon_önermesi,Meditasyon rehberliği alabilir miyim? lütfen
spor_önerisi,Egzersiz yapmak istiyorum
spor_önerisi,Egzersiz yapmak istiyorum
selamlaşma,Nasılsın?
kötü_gün_destek,Mutsuzum lütfen
hedef_önerisi,Kendimi motive edecek amaçlar arıyorum
spor_önerisi,Sağlıklı olmak için ne yapabilirim? lütfen
hedef_önerisi,Yeni bir şey öğrenmek istiyorum
spor_önerisi,Koşu yapmaya başlamak istiyorum
vedalaşma,Elveda
spor_önerisi,Yürüyüş yapmak istiyorum
kötü_gün_destek,Yorgunum ve bitkinim
meditasyon_önermesi,Rahatlamak istiyordum
motivasyon_sozu,Cesaretimi toplamak istiyorum
kötü_gün_destek,Umutsuzluğa kapıldım lütfen
hedef_önerisi,Kişisel gelişim için öneriler ver
motivasyon_sozu,Bana güçlü hissettiren bir söz söyler misin?
hedef_önerisi,Kariyerimde ilerleme kaydetmek istiyorum lütfen
vedalaşma,İyi akşamlar
hedef_önerisi,Hangi amaçları güdmeliyim?
vedalaşma,Çok teşekkürler hoşçakal
vedalaşma,Başka zaman görüşürüz
selamlaşma,Merhaba chatbot
selamlaşma,İyi günler nasıl gidiyor?
selamlaşma,Selamlar
meditasyon_önermesi,Gerginliğimi atmak istiyorum
spor_önerisi,Egzersiz yapmak istiyorum
spor_önerisi,Yürüyüş yapmak istiyorum
motivasyon_sozu,Azimli olmaya ihtiyacım var
selamlaşma,Selam nasılsın?
meditasyon_önermesi,Sakinleşmek istiyorum
motivasyon_sozu,Pozitif düşünmek istiyordum
motivasyon_sozu,Hayatımda ilerleme kaydetmek istiyorum
motivasyon_sozu,İlham verici bir söz duyabilir miyim.
kötü_gün_destek,Yorgunum ve bitkinim
spor_önerisi,Kilo vermek istiyorum
motivasyon_sozu,Kendime güvenmeyi öğrenmek istiyorum
selamlaşma,Merhaba
selamlaşma,Merhaba chatbot
meditasyon_önermesi,Zihinsel huzur arıyorum
hedef_önerisi,Becerilerimi geliştirmek istiyordum
vedalaşma,Bye
kötü_gün_destek,Motivasyonum yok lütfen
meditasyon_önermesi,Nefes egzersizleri yapabilir miyim?
hedef_önerisi,Mutluluk için hedefler belirlemek istiyorum
kötü_gün_destek,Motivasyonum yok lütfen
motivasyon_sozu,Pozitif düşünmek istiyorum lütfen
meditasyon_önermesi,Stresimi azaltmak istiyordum
selamlaşma,Selam canım
kötü_gün_destek,Çok üzgünüm
kötü_gün_destek,Kötü bir gün geçiriyorum lütfen
selamlaşma,Selam nasılsın?
vedalaşma,Güle güle
hedef_önerisi,Hayallerimi gerçekleştirmek için ne yapmalıyım?
hedef_önerisi,Hangi amaçları güdmeliyim?
spor_önerisi,Fitness önerileri ver
meditasyon_önermesi,Zihinsel berraklık istiyordum
kötü_gün_destek,Umutsuzluğa kapıldım
motivasyon_sozu,Başarıya odaklanmak istiyorum
motivasyon_sozu,Umut dolu bir mesaj alabilir miyim?
motivasyon_sozu,İlham verici bir söz duyabilir miyim?
motivasyon_sozu,Zorlukları aşmak için ne yapmalıyım? lütfen
kötü_gün_destek,Motivasyonum yok
kötü_gün_destek,Karamsar hissediyorum lütfen
kötü_gün_destek,Moralsizim
motivasyon_sozu,Azimli olmaya ihtiyacım var
selamlaşma,Herkese selam lütfen
meditasyon_önermesi,Ruhsal huzur arıyorum
hedef_önerisi,Yaşam kalitemi artırmak istiyorum
selamlaşma,Selam lütfen
motivasyon_sozu,Sabırlı olmak istiyorum
hedef_önerisi,Sosyal hayatımı geliştirmek istiyorum
vedalaşma,Hoşçakal dostum
hedef_önerisi,Yeni bir şey öğrenmek istiyorum lütfen
hedef_önerisi,Yeni bir şey öğrenmek istiyorum lütfen
kötü_gün_destek,Bugün çok kötü hissediyorum lütfen
vedalaşma,Elveda
meditasyon_önermesi,Zihnimin sakinleşmesine ihtiyacım var lütfen
spor_önerisi,Kilo vermek istiyorum
motivasyon_sozu,Cesaretimi toplamak istiyorum
hedef_önerisi,Becerilerimi geliştirmek istiyorum lütfen
vedalaşma,Hoşçakal canım lütfen
meditasyon_önermesi,Zihinsel huzur arıyorum
kötü_gün_destek,Kederli hissediyorum
selamlaşma,İyi günler
vedalaşma,Başka zaman görüşürüz
vedalaşma,İyi akşamlar lütfen
hedef_önerisi,Kişisel gelişim için öneriler ver lütfen
selamlaşma,Merhaba chatbot
vedalaşma,Sonra görüşürüz lütfen
meditasyon_önermesi,Gerginliğimi atmak istiyorum
meditasyon_önermesi,Endişelerimi yatıştırmak istiyorum
kötü_gün_destek,Motivasyonum yok
kötü_gün_destek,"Moralim bozuk, yardım et"
vedalaşma,Sağlıcakla kal
vedalaşma,İyi akşamlar
selamlaşma,Selamün aleyküm lütfen
meditasyon_önermesi,Zihinsel berraklık istiyorum
motivasyon_sozu,Bana güçlü hissettiren bir söz söyler misin? lütfen
hedef_önerisi,Mutluluk için hedefler belirlemek istiyorum
motivasyon_sozu,Bugün kendime nasıl motivasyon verebilirim? lütfen
hedef_önerisi,Hayallerimi gerçekleştirmek için ne yapmalıyım?
spor_önerisi,Spor yapmaya başlamak istiyorum
vedalaşma,Hoşçakal canım
meditasyon_önermesi,Stresimi azaltmak istiyorum
selamlaşma,Herkese selam
vedalaşma,Sonra görüşürüz
selamlaşma,Günaydın çiçeğim
meditasyon_önermesi,İç huzuru bulmak istiyorum
kötü_gün_destek,Hüzünlüyüm
motivasyon_sozu,Zorlukları aşmak için ne yapmalıyım?
motivasyon_sozu,Hayallerimi gerçekleştirmek istiyorum lütfen
hedef_önerisi,Becerilerimi geliştirmek istiyorum
meditasyon_önermesi,Zihnimde rahatlık istiyorum
hedef_önerisi,Mutluluk için hedefler belirlemek istiyorum
meditasyon_önermesi,Meditasyon yapmak istiyorum
vedalaşma,Kendine iyi bak
spor_önerisi,Fiziksel olarak aktif olmak istiyorum
motivasyon_sozu,Hayatımda ilerleme kaydetmek istiyorum
spor_önerisi,Fitness önerileri ver
selamlaşma,Selam canım
selamlaşma,Merhabalar
motivasyon_sozu,İlham verici bir söz duyabilir miyim?
vedalaşma,Sonra görüşürüz lütfen
meditasyon_önermesi,Zihinsel dinginlik istiyordum
motivasyon_sozu,Bana güçlü hissettiren bir söz söyler misin.
meditasyon_önermesi,Zihinsel huzur arıyorum
hedef_önerisi,Kişisel gelişim için öneriler ver lütfen
hedef_önerisi,Başarılı olmak için planlar yapmak istiyorum
motivasyon_sozu,Güçlü kalmaya ihtiyacım var
kötü_gün_destek,Boş hissediyorum
kötü_gün_destek,Yorgunum ve bitkinim
meditasyon_önermesi,İç huzuru bulmak istiyorum lütfen
meditasyon_önermesi,Zihinsel huzur arıyorum
vedalaşma,Bye
motivasyon_sozu,Kendimi motive etmek istiyorum
